visitors,datetime,temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,cloudcover,visibility,solarradiation,uvindex,sunrise,sunset
30886,2022-10-31,26.9,20.3,67.2,0,0,0,48.8,29.9,32.6,16,234.5,9,2022-10-31 6:34:03,2022-10-31 17:55:44
29331,2022-11-01,26.6,19.4,65.1,0,0,0,43.6,26.8,30.1,16,238.9,9,2022-11-01 6:34:33,2022-11-01 17:55:11
28185,2022-11-02,26.3,20.6,71,0.701,100,8.33,31.3,22.6,44.5,16,173.3,7,2022-11-02 6:35:04,2022-11-02 17:54:39
26711,2022-11-03,26.4,20.9,72.3,0,0,0,40.1,25.1,50.9,16,169.3,6,2022-11-03 6:35:35,2022-11-03 17:54:08
25169,2022-11-04,26.8,21.6,73.6,0.062,100,4.17,25.9,15.1,61.6,15.9,157,7,2022-11-04 6:36:07,2022-11-04 17:53:38
20723,2022-11-05,26.9,20.4,67.7,0.037,100,4.17,33.5,20.3,77.3,16,114.5,5,2022-11-05 6:36:39,2022-11-05 17:53:10
22346,2022-11-06,26.6,19.8,66.6,0,0,0,33.6,17.3,51,16,152,7,2022-11-06 6:37:12,2022-11-06 17:52:42
27108,2022-11-07,26.6,19.8,66.9,0,0,0,35.2,23.8,43.7,16,124.4,8,2022-11-07 6:37:45,2022-11-07 17:52:16
24800,2022-11-08,26,19.5,67.4,0.049,100,4.17,45,29.6,50.5,16,220.1,9,2022-11-08 6:38:19,2022-11-08 17:51:51
24712,2022-11-09,25.6,18.1,63.4,0.032,100,4.17,38.2,29.7,29.2,16,142.5,6,2022-11-09 6:38:53,2022-11-09 17:51:27
21748,2022-11-10,24.9,18.3,66.8,0.117,100,8.33,45.3,18.2,47.9,16,159.2,6,2022-11-10 6:39:27,2022-11-10 17:51:05
19243,2022-11-11,24.7,16.6,60.9,0,0,0,26.2,15.1,54.3,16,171.6,8,2022-11-11 6:40:03,2022-11-11 17:50:44
18788,2022-11-12,24.4,17.9,67.5,0.3,100,8.33,35.2,18.8,65.9,16,139.1,7,2022-11-12 6:40:38,2022-11-12 17:50:24
21208,2022-11-13,24.9,19.1,70.8,0.263,100,4.17,29.6,16.7,45,16,147.3,7,2022-11-13 6:41:14,2022-11-13 17:50:05
23918,2022-11-14,24.9,18.7,68.7,0,0,0,33.5,19,41.6,16,221.1,9,2022-11-14 6:41:50,2022-11-14 17:49:48
21053,2022-11-15,24.6,17,63.3,0,0,0,31.7,19.4,31,16,203.5,9,2022-11-15 6:42:27,2022-11-15 17:49:32
20983,2022-11-16,25.5,16.9,59.6,0,0,0,37.9,26.4,34.7,16,230.1,8,2022-11-16 6:43:04,2022-11-16 17:49:18
20126,2022-11-17,25.5,19.8,70.9,0,0,0,20.5,19.4,39,16,172,7,2022-11-17 6:43:41,2022-11-17 17:49:05
20992,2022-11-18,26.2,20.3,70.7,0.976,100,16.67,40,22.6,43.5,15.9,194,7,2022-11-18 6:44:19,2022-11-18 17:48:53
16667,2022-11-19,25.9,19.6,68.2,0,0,0,39.2,24,35.4,16,190.8,9,2022-11-19 6:44:57,2022-11-19 17:48:42
17977,2022-11-20,25.9,18.6,64.6,0,0,0,52.2,33.4,37,16,155,7,2022-11-20 6:45:36,2022-11-20 17:48:33
21146,2022-11-21,25.7,17.5,61,0,0,0,48.1,28.8,36.7,16,133.4,5,2022-11-21 6:46:14,2022-11-21 17:48:25
19686,2022-11-22,25.9,17.9,61.6,0,0,0,44.6,30.7,35,16,171,8,2022-11-22 6:46:53,2022-11-22 17:48:19
19602,2022-11-23,25.3,17.5,62.6,0,0,0,37.1,23.1,60.6,16,122,5,2022-11-23 6:47:32,2022-11-23 17:48:14
17740,2022-11-24,22.6,16.6,69.2,0.275,100,8.33,42.6,29.1,62.5,16,147.8,8,2022-11-24 6:48:11,2022-11-24 17:48:11
15689,2022-11-25,23,13.9,56.6,0,0,0,42.5,23.7,28.6,16,187,7,2022-11-25 6:48:50,2022-11-25 17:48:08
16885,2022-11-26,22.9,16.8,68.8,0.526,100,8.33,22.3,16.5,62.3,16,195.6,8,2022-11-26 6:49:29,2022-11-26 17:48:08
19821,2022-11-27,23.9,18,69.8,0,0,0,18.3,13.2,55.5,16,160.6,8,2022-11-27 6:50:09,2022-11-27 17:48:08
22404,2022-11-28,23.8,20.5,82.2,1.076,100,12.5,18.4,10.9,81.9,15.6,67.4,3,2022-11-28 6:50:48,2022-11-28 17:48:10
20142,2022-11-29,24.7,20,75.8,0.044,100,4.17,16.6,17.6,47.8,16,157.8,7,2022-11-29 6:51:28,2022-11-29 17:48:13
19909,2022-11-30,25.2,20.3,75.1,0.046,100,4.17,29.5,15.5,49.5,16,199,8,2022-11-30 6:52:07,2022-11-30 17:48:18
17146,2022-12-01,24.5,18.2,69.1,0,0,0,24.1,18.2,43.1,16,198.7,8,2022-12-01 6:52:47,2022-12-01 17:48:24
16533,2022-12-02,24,19.2,75.2,0.563,100,12.5,28.6,22,51.9,16,183.7,7,2022-12-02 6:53:26,2022-12-02 17:48:32
17778,2022-12-03,24.6,20.1,77,0.263,100,4.17,28.8,20,63.6,15.7,213,8,2022-12-03 6:54:05,2022-12-03 17:48:40
20888,2022-12-04,24.3,19.6,75.3,2.398,100,12.5,16.6,9.2,50.8,16,107.6,5,2022-12-04 6:54:44,2022-12-04 17:48:50
25707,2022-12-05,24.4,19.7,75.6,0,0,0,16.6,16.6,44.9,16,166.7,7,2022-12-05 6:55:23,2022-12-05 17:49:02
24357,2022-12-06,25.5,20.5,74,0.044,100,4.17,38.9,22.2,69.8,16,127.4,6,2022-12-06 6:56:01,2022-12-06 17:49:14
24375,2022-12-07,25.8,19.5,68.6,0.129,100,12.5,54.3,30.6,66.9,15.9,93.2,5,2022-12-07 6:56:40,2022-12-07 17:49:28
21759,2022-12-08,25.7,18.5,65,0,0,0,54.4,36.6,68.6,15.9,86.5,4,2022-12-08 6:57:18,2022-12-08 17:49:44
18586,2022-12-09,25.3,16.2,57.6,0,0,0,62,42.2,46.8,16,185,8,2022-12-09 6:57:55,2022-12-09 17:50:00
19610,2022-12-10,24.9,17.6,64.3,0,0,0,54,35.5,51.1,16,196.8,8,2022-12-10 6:58:32,2022-12-10 17:50:18
23439,2022-12-11,24.7,18.5,68.8,0,0,0,30.4,15.9,67,15.8,153,8,2022-12-11 6:59:09,2022-12-11 17:50:37
26130,2022-12-12,24.8,17.9,66.1,0.264,100,8.33,45.4,26.5,55.5,16,138.9,8,2022-12-12 6:59:45,2022-12-12 17:50:57
23420,2022-12-13,25.1,17.6,64,0.073,100,4.17,45.1,32.1,41.4,16,127.6,5,2022-12-13 7:00:21,2022-12-13 17:51:18
24367,2022-12-14,25.1,17.9,65,0,0,0,40,27.2,39.9,16,129.4,6,2022-12-14 7:00:56,2022-12-14 17:51:40
23867,2022-12-15,23.8,18.6,73.7,1.168,100,12.5,13,16.3,42.1,15.8,199.8,7,2022-12-15 7:01:31,2022-12-15 17:52:04
23184,2022-12-16,23.3,18.2,74.3,11.911,100,20.83,18.4,13.3,84.4,15.3,145.9,7,2022-12-16 7:02:05,2022-12-16 17:52:28
28676,2022-12-17,23.5,19.1,76.9,0,0,0,18.3,13,36.4,16,193.7,7,2022-12-17 7:02:38,2022-12-17 17:52:54
29435,2022-12-18,22.7,20.3,86.5,34.428,100,62.5,38.9,31.6,90.8,14.3,34.3,2,2022-12-18 7:03:11,2022-12-18 17:53:21
24966,2022-12-19,22.2,16.3,69.6,4.434,100,45.83,68.5,31.8,71.5,14.8,62.1,3,2022-12-19 7:03:43,2022-12-19 17:53:48
23332,2022-12-20,23.2,16.7,67.5,1.657,100,20.83,53.4,38.9,60.9,15.4,122.9,6,2022-12-20 7:04:14,2022-12-20 17:54:17
26892,2022-12-21,23.1,18.5,75.4,0,0,0,24.1,23,43.7,16,141.3,6,2022-12-21 7:04:44,2022-12-21 17:54:46
28762,2022-12-22,23.5,19.2,77,0.263,100,4.17,20.5,20.2,39,16,151.3,6,2022-12-22 7:05:14,2022-12-22 17:55:17
30369,2022-12-23,23.6,19.7,78.8,0,0,0,18.3,15,42.5,16,128.5,4,2022-12-23 7:05:42,2022-12-23 17:55:48
31377,2022-12-24,24.4,21.3,83.2,0,0,0,18.4,13.2,54.1,16,131.8,5,2022-12-24 7:06:10,2022-12-24 17:56:20
32877,2022-12-25,24.3,21.8,86,0,0,0,13,11.5,54,16,165.1,7,2022-12-25 7:06:37,2022-12-25 17:56:53
26073,2022-12-26,24.3,20.3,78.6,0,0,0,20.5,16.3,28.6,16,143.1,8,2022-12-26 7:07:03,2022-12-26 17:57:27
28710,2022-12-27,25,18.2,66.7,0,0,0,38.9,24.7,34.3,16,173.7,7,2022-12-27 7:07:28,2022-12-27 17:58:01
31965,2022-12-28,24.3,18.1,68.6,0,0,0,31.7,20.1,62.7,16,116.5,5,2022-12-28 7:07:51,2022-12-28 17:58:36
31459,2022-12-29,23.4,17.9,71.9,0,0,0,20.4,14.1,54.8,16,136.9,8,2022-12-29 7:08:14,2022-12-29 17:59:12
30946,2022-12-30,23.5,17.9,72.1,0,0,0,32.4,21.6,58.9,16,147.9,6,2022-12-30 7:08:36,2022-12-30 17:59:48
33750,2022-12-31,23,18.9,78.6,0,0,0,16.6,12.3,33.8,15.9,124.6,5,2022-12-31 7:08:56,2022-12-31 18:00:25
34108,2023-01-01,23.4,18.7,75.2,0,0,0,18.4,12.3,65.3,14.7,149.7,6,2023-01-01 7:09:16,2023-01-01 18:01:03
34468,2023-01-02,24.4,19.3,73.8,0.012,100,4.17,22.3,13.1,63.8,16,160.8,6,2023-01-02 7:09:34,2023-01-02 18:01:41
32724,2023-01-03,23,18,74.3,0.044,100,4.17,35.3,20.5,54.4,16,191,8,2023-01-03 7:09:51,2023-01-03 18:02:19
29642,2023-01-04,22.3,19.2,83.2,5.68,100,83.33,35.3,14.5,90.6,13,115.1,5,2023-01-04 7:10:07,2023-01-04 18:02:58
26761,2023-01-05,23,19.4,80.5,0.044,100,4.17,20.2,21.1,56.2,16,180.7,9,2023-01-05 7:10:22,2023-01-05 18:03:37
23719,2023-01-06,23.3,18.1,73.5,0,0,0,29.9,17,38.2,16,196.5,8,2023-01-06 7:10:35,2023-01-06 18:04:17
22435,2023-01-07,23.6,18.5,73.2,0,0,0,24.1,15.1,40.5,16,195.4,8,2023-01-07 7:10:48,2023-01-07 18:04:57
23437,2023-01-08,23,17.6,72.2,0,0,0,20.5,12.8,46.3,16,166.7,8,2023-01-08 7:10:59,2023-01-08 18:05:37
25063,2023-01-09,22.7,16.5,68.9,0,0,0,16.6,14.1,55.6,16,209.9,8,2023-01-09 7:11:08,2023-01-09 18:06:18
23413,2023-01-10,24.5,16,60.1,0,0,0,37.1,22.7,48,15.3,218.6,8,2023-01-10 7:11:17,2023-01-10 18:06:58
23206,2023-01-11,23.5,16.3,65.2,0,0,0,39.1,21.9,26.3,15.7,213.5,8,2023-01-11 7:11:24,2023-01-11 18:07:39
22345,2023-01-12,23,14.5,59.6,0,0,0,35.3,16.1,22.7,16,221.5,8,2023-01-12 7:11:30,2023-01-12 18:08:20
18753,2023-01-13,22.8,16.2,67,0,0,0,22.3,13.1,17,16,220.6,8,2023-01-13 7:11:34,2023-01-13 18:09:01
19186,2023-01-14,22.8,16.3,67.2,0,0,0,16.6,14,33,16,187.1,8,2023-01-14 7:11:37,2023-01-14 18:09:42
21929,2023-01-15,24.2,18.5,70.8,0.02,100,4.17,22.3,12.9,83,16,114.5,6,2023-01-15 7:11:39,2023-01-15 18:10:23
25416,2023-01-16,23.6,19.2,76.6,0,0,0,16.6,13.1,47.8,16,146.3,6,2023-01-16 7:11:39,2023-01-16 18:11:04
24513,2023-01-17,24.3,18.9,72.5,0,0,0,14.8,14.8,27.4,16,219.8,8,2023-01-17 7:11:39,2023-01-17 18:11:45
24538,2023-01-18,24.6,18.5,69.5,0,0,0,10.4,19.3,33.2,16,172.3,8,2023-01-18 7:11:36,2023-01-18 18:12:26
25384,2023-01-19,24.4,19.1,72.5,0,0,0,14.8,14.2,34,15.8,159.9,8,2023-01-19 7:11:33,2023-01-19 18:13:07
21827,2023-01-20,25,18.9,69.6,0.032,100,4.17,50,26.2,36.1,16,163.5,8,2023-01-20 7:11:28,2023-01-20 18:13:48
22842,2023-01-21,25.2,19.8,72,0.008,100,4.17,22.3,20.2,67,16,122.2,5,2023-01-21 7:11:22,2023-01-21 18:14:29
24902,2023-01-22,24.4,18.5,70.5,0,0,0,24.2,13.1,34.9,16,222.5,8,2023-01-22 7:11:14,2023-01-22 18:15:09
20830,2023-01-23,24.6,18.4,69.2,0.044,100,4.17,10.8,17.1,27.4,16,198.3,9,2023-01-23 7:11:05,2023-01-23 18:15:49
20852,2023-01-24,24.3,19.1,73.5,0,0,0,15.8,16.6,34.2,16,178.8,8,2023-01-24 7:10:55,2023-01-24 18:16:29
23330,2023-01-25,24.2,17,65.4,0.673,100,4.17,37.1,23.6,54.4,15.7,148.2,6,2023-01-25 7:10:43,2023-01-25 18:17:09
27383,2023-01-26,23.3,14.9,60.8,0,0,0,38.9,24.9,32,16,229.7,8,2023-01-26 7:10:30,2023-01-26 18:17:48
27134,2023-01-27,22.8,15.1,62.9,0,0,0,39.1,27.5,35,16,228.7,8,2023-01-27 7:10:16,2023-01-27 18:18:27
29298,2023-01-28,21.9,17.6,76.6,0.088,100,20.83,37.9,24.6,76.1,16,188.6,8,2023-01-28 7:10:00,2023-01-28 18:19:06
29926,2023-01-29,21.4,18,81,6.974,100,75,52.6,21.9,89.3,14.3,67.5,3,2023-01-29 7:09:44,2023-01-29 18:19:44
32259,2023-01-30,23.3,19.1,77.7,2.018,100,54.17,44.6,24,79.5,15.4,85.8,4,2023-01-30 7:09:26,2023-01-30 18:20:22
30512,2023-01-31,24.3,20.6,80.1,0.292,100,8.33,20.5,13.7,59.9,15.9,177.5,8,2023-01-31 7:09:06,2023-01-31 18:21:00
26581,2023-02-01,23.8,20.1,80.3,0,0,0,16.6,15.5,38.9,16,168.6,7,2023-02-01 7:08:46,2023-02-01 18:21:37
25637,2023-02-02,24.2,19.8,76.8,0,0,0,20.5,20.8,38.4,16,149.1,7,2023-02-02 7:08:24,2023-02-02 18:22:14
19833,2023-02-03,24.4,20.1,77.1,1.974,100,25,34.9,16.7,61,15.8,103.8,5,2023-02-03 7:08:01,2023-02-03 18:22:51
21610,2023-02-04,23.7,19,75.2,27.711,100,29.17,47.9,20.5,67.8,14.9,45,2,2023-02-04 7:07:36,2023-02-04 18:23:27
22287,2023-02-05,24.7,19.4,72.5,0.076,100,16.67,47.2,29.4,43.6,16,173.5,8,2023-02-05 7:07:11,2023-02-05 18:24:02
21637,2023-02-06,25.6,19.2,68.1,0,0,0,46.3,33.5,34.7,16,163.3,7,2023-02-06 7:06:44,2023-02-06 18:24:37
19677,2023-02-07,25.3,19.4,69.9,0,0,0,50,32.3,48.6,15.9,121.5,6,2023-02-07 7:06:16,2023-02-07 18:25:12
24469,2023-02-08,24.9,16.7,60.7,0.044,100,4.17,66.5,41,57.7,15.9,246.3,9,2023-02-08 7:05:47,2023-02-08 18:25:46
24849,2023-02-09,24.4,17.2,64.5,0.117,100,4.17,70.6,38,63.4,15.6,184.3,8,2023-02-09 7:05:17,2023-02-09 18:26:20
20010,2023-02-10,24.8,16.5,60.3,0,0,0,64.9,44.7,36.6,16,165.8,7,2023-02-10 7:04:46,2023-02-10 18:26:53
20628,2023-02-11,24.3,15.9,59.7,0,0,0,55.4,33,33.6,16,181.7,8,2023-02-11 7:04:14,2023-02-11 18:27:26
22143,2023-02-12,23.5,17.2,68.2,1.595,100,29.17,50.1,30.9,36.2,15.9,153.9,7,2023-02-12 7:03:40,2023-02-12 18:27:58
24406,2023-02-13,23.9,17.3,66.8,0.248,100,16.67,47.9,27.5,41.8,15.9,169.1,7,2023-02-13 7:03:06,2023-02-13 18:28:30
21911,2023-02-14,23.7,17.5,68.9,0.739,100,33.33,42.1,29.3,44.3,16,201.2,8,2023-02-14 7:02:31,2023-02-14 18:29:01
23028,2023-02-15,23.3,18.1,73.1,4.928,100,37.5,47.9,21.8,54.2,15.9,176,7,2023-02-15 7:01:54,2023-02-15 18:29:32
21111,2023-02-16,24,19.2,74.8,2.553,100,25,36,25.4,75.8,16,108.2,5,2023-02-16 7:01:17,2023-02-16 18:30:02
19766,2023-02-17,21.4,20.4,94.3,10.835,100,75,14,9.8,93.3,15,38.2,1,2023-02-17 7:00:39,2023-02-17 18:30:32
23084,2023-02-18,23.5,20.5,84,7.338,100,45.83,25.9,16.4,80.6,15.3,147.6,6,2023-02-18 7:00:00,2023-02-18 18:31:01
17351,2023-02-19,23.5,20,81.5,2.806,100,25,25.9,14.5,75.4,15.7,169.3,6,2023-02-19 6:59:19,2023-02-19 18:31:30
19784,2023-02-20,22.6,20.8,89.5,23.305,100,70.83,31.7,18.4,92.7,13.3,51.9,3,2023-02-20 6:58:38,2023-02-20 18:31:58
19017,2023-02-21,24.2,20.1,78.4,2.488,100,25,64.8,26.9,86.3,15.6,82.4,5,2023-02-21 6:57:57,2023-02-21 18:32:26
19680,2023-02-22,24.3,19.6,75.2,0.169,100,12.5,55.4,20.3,80.8,15.8,117.3,5,2023-02-22 6:57:14,2023-02-22 18:32:53
18753,2023-02-23,23.9,19,74,0.404,100,33.33,59.2,23.8,74,16,78.3,4,2023-02-23 6:56:31,2023-02-23 18:33:20
18545,2023-02-24,23.6,18,71.3,0.868,100,33.33,64.8,33.6,65.2,15.8,93.6,4,2023-02-24 6:55:46,2023-02-24 18:33:47
20889,2023-02-25,23.3,16.3,65,0.02,100,4.17,44,24.9,43.6,16,203.9,8,2023-02-25 6:55:01,2023-02-25 18:34:13
20476,2023-02-26,23.2,16.3,65.3,0.172,100,41.67,50.4,18.7,51.1,15.9,191,8,2023-02-26 6:54:16,2023-02-26 18:34:39
23952,2023-02-27,23.4,16.9,67.1,0.489,100,41.67,67.8,28.4,48.4,15.9,159.8,5,2023-02-27 6:53:29,2023-02-27 18:35:04
20978,2023-02-28,23.1,17.5,71.3,2.897,100,62.5,50,30.6,54.8,15.7,142,7,2023-02-28 6:52:42,2023-02-28 18:35:29
22282,2023-03-01,22.7,17.2,71.8,3.25,100,45.83,59,38.9,77,15.2,115.6,5,2023-03-01 6:51:55,2023-03-01 18:35:53
20845,2023-03-02,23.3,16.5,66.2,0.064,100,20.83,57.2,29.7,57.5,15.9,164.6,7,2023-03-02 6:51:07,2023-03-02 18:36:17
19847,2023-03-03,23.5,18.3,72.7,1.331,100,25,54,26.9,52.6,16,171,7,2023-03-03 6:50:18,2023-03-03 18:36:41
21663,2023-03-04,23.3,17.8,71.4,0,0,0,28.1,12.6,45.5,15.9,142.6,6,2023-03-04 6:49:28,2023-03-04 18:37:04
26207,2023-03-05,22.4,19.7,84.7,0.264,100,8.33,18.4,14.5,62.5,15.8,100.5,5,2023-03-05 6:48:38,2023-03-05 18:37:27
28131,2023-03-06,24,19.7,77.4,7.392,100,45.83,37.1,27,76.3,15.2,164.9,10,2023-03-06 6:47:48,2023-03-06 18:37:49
25013,2023-03-07,23.2,17.8,72.3,0.898,100,12.5,68.4,29.9,71.8,16,168.6,9,2023-03-07 6:46:57,2023-03-07 18:38:12
23343,2023-03-08,23.6,17.5,69.6,3.243,100,25,68.3,45.5,79,15.6,203.4,9,2023-03-08 6:46:06,2023-03-08 18:38:33
21930,2023-03-09,22.3,13.8,59,0,0,0,35.3,25.4,49.5,16,261.2,9,2023-03-09 6:45:14,2023-03-09 18:38:55
20603,2023-03-10,22.2,15.2,64.7,0,0,0,31.7,17,73.9,16,155,6,2023-03-10 6:44:22,2023-03-10 18:39:16
20492,2023-03-11,22.3,16.1,67.8,0,0,0,18.4,14.5,54,16,269,8,2023-03-11 6:43:29,2023-03-11 18:39:38
21320,2023-03-12,24,19.7,76.8,0,0,0,25.9,18.3,54,16,137.1,5,2023-03-12 6:42:36,2023-03-12 18:39:58
23772,2023-03-13,24.3,20.8,80.9,0,0,0,25.9,11.1,40.6,16,263.8,10,2023-03-13 6:41:43,2023-03-13 18:40:19
21797,2023-03-14,25.2,23.5,90.2,3.341,100,29.17,28.8,18.3,81.4,15.8,73.9,4,2023-03-14 6:40:49,2023-03-14 18:40:39
20514,2023-03-15,25.9,22.4,81.3,0,0,0,40.7,19.5,44.3,16,241.8,9,2023-03-15 6:39:56,2023-03-15 18:40:59
18371,2023-03-16,25.7,21.8,79.4,0,0,0,35.3,17.2,43.2,16,233.1,9,2023-03-16 6:39:02,2023-03-16 18:41:19
18816,2023-03-17,25.7,21.2,76.5,0,0,0,19.4,15,64.3,16,241,8,2023-03-17 6:38:07,2023-03-17 18:41:39
19594,2023-03-18,25,20.6,77,0.06,100,4.17,25.9,15.3,63.5,16,163.1,9,2023-03-18 6:37:13,2023-03-18 18:41:59
20663,2023-03-19,24.7,20.3,76.4,0,0,0,17.6,13,54.5,15.8,178,7,2023-03-19 6:36:18,2023-03-19 18:42:18
23370,2023-03-20,25.1,19.7,72.3,0,0,0,40.7,19.6,60.5,16,176.9,7,2023-03-20 6:35:24,2023-03-20 18:42:37
21791,2023-03-21,26.1,20.9,73.6,0,0,0,42.5,24.8,74.2,15.9,144.3,6,2023-03-21 6:34:29,2023-03-21 18:42:57
20304,2023-03-22,25.5,21.2,77,0.095,100,8.33,25.9,15.9,70,16,138,6,2023-03-22 6:33:34,2023-03-22 18:43:16
17743,2023-03-23,23.7,21.3,86.2,38.963,100,20.83,46.4,30.1,73.5,15.5,162.2,5,2023-03-23 6:32:39,2023-03-23 18:43:35
17199,2023-03-24,24.3,20.8,81,0.012,100,4.17,18.4,16.8,40.8,16,155.1,6,2023-03-24 6:31:44,2023-03-24 18:43:53
18415,2023-03-25,25.3,19.4,70.1,0,0,0,33.5,23.3,47.3,16,230.4,9,2023-03-25 6:30:49,2023-03-25 18:44:12
18543,2023-03-26,24.6,18.5,68.8,0,0,0,22.3,16.9,54.5,16,250.8,9,2023-03-26 6:29:54,2023-03-26 18:44:31
21117,2023-03-27,24.9,19.8,73.6,0,0,0,7.6,16.4,47,16,155.7,8,2023-03-27 6:28:59,2023-03-27 18:44:50
19204,2023-03-28,24.8,20.8,79,2.841,100,45.83,37.1,23.1,72.7,15.5,130.4,5,2023-03-28 6:28:04,2023-03-28 18:45:08
19800,2023-03-29,25.9,21.5,76.8,2.422,100,45.83,32.7,21.8,77,15.5,163.6,7,2023-03-29 6:27:10,2023-03-29 18:45:27
18727,2023-03-30,25.9,21.5,77,0.452,100,8.33,33.5,24.8,55.6,16,239.8,9,2023-03-30 6:26:15,2023-03-30 18:45:46
17751,2023-03-31,24.7,20.7,78.8,0.066,100,8.33,38.9,18.7,66.9,16,183.7,7,2023-03-31 6:25:21,2023-03-31 18:46:04
20041,2023-04-01,24.3,19.3,74.3,0.084,100,12.5,25.9,10.2,82.8,16,74.5,4,2023-04-01 6:24:26,2023-04-01 18:46:23
20664,2023-04-02,23.4,20.2,82.2,28.543,100,37.5,37.3,22.7,87.2,15.4,89.6,6,2023-04-02 6:23:32,2023-04-02 18:46:42
21862,2023-04-03,24.6,19.6,75.5,3.464,100,12.5,40.3,23.8,57.9,15.8,200.5,10,2023-04-03 6:22:38,2023-04-03 18:47:01
20907,2023-04-04,25,19.4,71.5,0.339,100,25,46.4,31.9,46.7,15.9,202.8,9,2023-04-04 6:21:45,2023-04-04 18:47:20
20398,2023-04-05,25.9,18.5,64.3,0,0,0,46.4,30.7,46.6,15.8,209.2,9,2023-04-05 6:20:51,2023-04-05 18:47:38
18856,2023-04-06,25.5,18.5,65.7,0.176,100,16.67,50.4,32.5,62.1,15.9,143.5,5,2023-04-06 6:19:58,2023-04-06 18:47:58
16979,2023-04-07,24.9,18.6,68.2,0,0,0,42.8,30,55.8,16,100.4,4,2023-04-07 6:19:06,2023-04-07 18:48:17
18368,2023-04-08,25.2,18.3,66,0.044,100,4.17,45.5,28.2,59.6,16,254.5,9,2023-04-08 6:18:13,2023-04-08 18:48:36
17746,2023-04-09,23.8,19,74.5,0.354,100,20.83,50.9,26.7,76.6,14.7,130.3,6,2023-04-09 6:17:21,2023-04-09 18:48:55
19164,2023-04-10,25.1,18.7,68.4,0.488,100,12.5,52.5,32.1,55.6,15.1,132.3,5,2023-04-10 6:16:30,2023-04-10 18:49:15
20239,2023-04-11,25.4,18.7,67.2,0.722,100,20.83,55.2,35.8,53.7,16,200.1,8,2023-04-11 6:15:38,2023-04-11 18:49:34
19977,2023-04-12,25.7,18.2,63.5,0,0,0,50,31.3,51.8,16,228.5,9,2023-04-12 6:14:48,2023-04-12 18:49:54
18144,2023-04-13,25.8,18.6,64.9,0.044,100,4.17,48.1,28.4,49.5,16,262.5,9,2023-04-13 6:13:57,2023-04-13 18:50:14
18935,2023-04-14,25.2,17.6,63.3,0.044,100,4.17,40.3,25.1,30.8,16,272.8,10,2023-04-14 6:13:07,2023-04-14 18:50:34
18970,2023-04-15,25,18.1,65.8,0.112,100,12.5,35.7,24.3,42.2,16,281.4,10,2023-04-15 6:12:18,2023-04-15 18:50:55
19080,2023-04-16,25.5,19.8,71.3,0.159,100,4.17,37.1,18.3,42.3,15.9,335,10,2023-04-16 6:11:29,2023-04-16 18:51:15
24224,2023-04-17,25.6,20.1,72.3,0.147,100,4.17,35.3,22.3,55.1,16,231.5,9,2023-04-17 6:10:41,2023-04-17 18:51:36
25246,2023-04-18,25,20.8,78.1,3.163,100,37.5,51.8,32.2,73.3,15.4,72,3,2023-04-18 6:09:53,2023-04-18 18:51:57
25024,2023-04-19,25.7,21.2,77.5,18.279,100,41.67,71.1,54.2,75.2,14.8,255.1,9,2023-04-19 6:09:06,2023-04-19 18:52:18
23292,2023-04-20,25.2,21.1,78.7,8.091,100,37.5,17.6,15.6,79.4,15.5,172.4,8,2023-04-20 6:08:20,2023-04-20 18:52:39
16908,2023-04-21,26.1,22,78.4,3.471,100,16.67,34.2,24.3,43.4,16,160.2,6,2023-04-21 6:07:34,2023-04-21 18:53:00
17768,2023-04-22,26,20.6,72.6,0,0,0,38.9,25.5,51.6,16,211.3,8,2023-04-22 6:06:49,2023-04-22 18:53:22
18226,2023-04-23,25.5,20.3,73.1,0.181,100,4.17,23,16.8,50.7,16,215.1,7,2023-04-23 6:06:05,2023-04-23 18:53:44
22503,2023-04-24,25.2,21,78.4,0.076,100,12.5,14.4,15.6,55.6,15.9,146,7,2023-04-24 6:05:21,2023-04-24 18:54:06
19959,2023-04-25,25.5,20.5,74.4,0.842,100,16.67,31.7,22.8,79,15.6,242.4,8,2023-04-25 6:04:38,2023-04-25 18:54:28
22617,2023-04-26,25.3,20,73,3.229,100,45.83,37.1,21,58.4,15.2,256,9,2023-04-26 6:03:55,2023-04-26 18:54:51
21360,2023-04-27,23.5,21,86,9.69,100,95.83,22,12.1,92.1,12.6,151.3,5,2023-04-27 6:03:14,2023-04-27 18:55:14
20846,2023-04-28,25,20.9,78.4,1.613,100,29.17,23,16.9,60.3,15.1,186.6,9,2023-04-28 6:02:33,2023-04-28 18:55:37
22485,2023-04-29,25.5,19.7,71.3,0,0,0,43.6,26.8,57.6,15.9,179.9,7,2023-04-29 6:01:53,2023-04-29 18:56:00
24142,2023-04-30,25.2,18.8,68.4,0.191,100,8.33,42.5,26.3,38.8,16,177.6,6,2023-04-30 6:01:14,2023-04-30 18:56:23
28618,2023-05-01,25.4,19.4,70.2,0,0,0,42.5,24.4,67.4,16,274.5,10,2023-05-01 6:00:36,2023-05-01 18:56:47
26186,2023-05-02,23.8,19.9,79,0.191,100,8.33,18,13.7,63.1,15.9,116.5,5,2023-05-02 5:59:59,2023-05-02 18:57:11
26934,2023-05-03,25.4,19.3,70.2,0,0,0,54.5,27.5,41.7,16,201.7,7,2023-05-03 5:59:22,2023-05-03 18:57:35
